Species,Length,Weight,Category
Acroteriobatus annulatus,140,20463.398751342673,Vulnerable
Acroteriobatus blochii,100,8302.228700297239,Least Concern
Acroteriobatus leucospilus,120,13535.898739951816,Endangered
Acroteriobatus salalah,78,4264.7160853657715,Near Threatened
Acroteriobatus variegatus,75,3839.035531864086,Critically Endangered
Acroteriobatus zanzibarensis,75,3839.035531864086,Near Threatened
Aculeola nigra,60,2110.557690505931,Near Threatened
Aetobatus flagellum,72,13930,Endangered
Aetobatus narinari,330,230000,Near Threatened
Aetobatus ocellatus,152.8,200000,Vulnerable
Aetomylaeus caeruleofasciatus,59.1,2026.7451451298573,Least Concern
Aetomylaeus maculatus,200,53245.70254992961,Endangered
Aetomylaeus nichofii,65,2615.758950533419,Vulnerable
Aetomylaeus vespertilio,240,86811.44112877037,Endangered
Alopias pelagicus,428,409406.8603929754,Endangered
Alopias superciliosus,487.985,363800,Vulnerable
Alopias vulpinus,573.3,348000,Vulnerable
Amblyraja badia,86,5540.881341676957,Least Concern
Amblyraja doellojuradoi,69,3069.9681821445706,Least Concern
Amblyraja hyperborea,112,11250.00882384768,Least Concern
Amblyraja jenseni,74.25,3736.9705551005554,Least Concern
Amblyraja radiata,105,11400,Vulnerable
Amblyraja robertsi,77,4119.700070759574,Least Concern
Anacanthobatis marmorata,29,300.4920009689459,Near Threatened
Anoxypristis cuspidata,470,526202.0921501601,Endangered
Apristurus albisoma,59.6,2073.044731659671,Least Concern
Apristurus ampliceps,85.5,5454.932943878653,Least Concern
Apristurus australis,61.6,2264.856523142822,Least Concern
Apristurus breviventralis,48.5,1192.9949161270056,Least Concern
Apristurus canutus,43,863.9507396240134,Least Concern
Apristurus exsanguis,90.8,6409.422361070702,Least Concern
Apristurus garricki,67.5,2894.289539070447,Least Concern
Apristurus gibbosus,388,314708.3022587701,Least Concern
Apristurus herklotsi,48.5,1192.9949161270056,Least Concern
Apristurus indicus,34,460.30467823974953,Least Concern
Apristurus internatus,40.3,726.0728847661436,Least Concern
Apristurus investigatoris,26,224.22443949258994,Least Concern
Apristurus laurussonii,76,3977.81580608374,Least Concern
Apristurus longicephalus,60,2110.557690505931,Least Concern
Apristurus manis,85,5369.82536249275,Least Concern
Apristurus melanoasper,76.1,1288,Least Concern
Apristurus microps,61,2206.19396173106,Least Concern
Apristurus micropterygeus,37.2,585.8409508638068,Least Concern
Apristurus nakayai,67.6,2905.799953969871,Least Concern
Apristurus nasutus,70,3190.7141474884793,Least Concern
Apristurus parvipinnis,48,1160.305427751751,Least Concern
Apristurus pinguis,83.5,5119.513964126872,Least Concern
Apristurus platyrhynchus,80,4564.253830503943,Least Concern
Apristurus profundorum,54.2,1607.0213250123793,Least Concern
Apristurus riveri,46,1035.1816531783882,Least Concern
Apristurus saldanha,88,5893.149921716592,Least Concern
Apristurus sibogae,21,126.4737990051516,Least Concern
Aptychotrema rostrata,100,8302.228700297239,Least Concern
Aptychotrema timorensis,58.2,1945.0510176134171,Vulnerable
Aptychotrema vincentiana,84,5202.119234199062,Least Concern
Asymbolus analis,90,6259.1381295637975,Least Concern
Asymbolus galacticus,47.7,1140.964372066321,Least Concern
Asymbolus occiduus,60.1,2120.0019152495515,Least Concern
Asymbolus pallidus,43.9,913.2891124714267,Least Concern
Asymbolus parvus,34.9,493.7037821525096,Least Concern
Asymbolus rubiginosus,39.3,678.7702289821198,Least Concern
Asymbolus submaculatus,41.4,780.4344098834281,Least Concern
Asymbolus vincenti,61,2206.19396173106,Least Concern
Atelomycterus baliensis,47.4,1121.8267308199436,Vulnerable
Atelomycterus fasciatus,45,975.9434795636485,Least Concern
Atelomycterus macleayi,60,2110.557690505931,Least Concern
Atelomycterus marmoratus,70,3190.7141474884793,Near Threatened
Atlantoraja castelnaui,132,17476.91595646936,Critically Endangered
Atlantoraja cyclophora,78.9,4397.930995414298,Endangered
Atlantoraja platana,81.6,4813.130777146255,Endangered
Bathyraja albomaculata,14.4,45.99228532257332,Vulnerable
Bathyraja aleutica,161,23100,Least Concern
Bathyraja andriashevi,75.6,3921.932775972169,Least Concern
Bathyraja brachyurops,64.2,2530.33435949998,Near Threatened
Bathyraja cousseauae,86,5540.881341676957,Least Concern
Bathyraja eatonii,100,8302.228700297239,Least Concern
Bathyraja fedorovi,73.3,3610.1537613967453,Least Concern
Bathyraja griseocauda,49,1226.2558812212246,Endangered
Bathyraja interrupta,86,5540.881341676957,Least Concern
Bathyraja irrasa,120,13535.898739951816,Vulnerable
Bathyraja isotrachys,76.2,4005.943449811074,Least Concern
Bathyraja leucomelanos,88.8,6037.88696505196,Least Concern
Bathyraja lindbergi,60.7,2177.2238464066586,Least Concern
Bathyraja maccaini,120,13535.898739951816,Least Concern
Bathyraja maculata,115,8500,Least Concern
Bathyraja mariposa,76,3977.81580608374,Least Concern
Bathyraja matsubarai,126,10600,Least Concern
Bathyraja meridionalis,120,13535.898739951816,Least Concern
Bathyraja minispinosa,82.5,4956.7821563451735,Least Concern
Bathyraja murrayi,60,2110.557690505931,Least Concern
Bathyraja pacifica,122.4,14273.976260081059,Least Concern
Bathyraja pallida,160,29272.489423555493,Least Concern
Bathyraja panthera,111,10982.71925969339,Least Concern
Bathyraja parmifera,129,18200,Least Concern
Bathyraja richardsoni,175,37222.25422337344,Least Concern
Bathyraja scaphiops,111,10982.71925969339,Least Concern
Bathyraja smirnovi,101.5,8640.33861933733,Near Threatened
Bathyraja smithii,120,13535.898739951816,Least Concern
Bathyraja spinicauda,170,34438.9602259596,Near Threatened
Bathyraja spinosissima,150,24621.35787718393,Least Concern
Bathyraja taranetzi,70,3190.7141474884793,Least Concern
Bathyraja trachura,91,5000,Least Concern
Bathyraja violacea,102,8754.927740707097,Least Concern
Bathytoshia brevicaudata,430,414556.2736240206,Least Concern
Bathytoshia centroura,300,300000,Vulnerable
Bathytoshia lata,100,8302.228700297239,Least Concern
Benthobatis kreffti,30,329.08444799503474,Vulnerable
Benthobatis marcida,50,1294.5082530821128,Least Concern
Benthobatis moresbyi,35.12,502.0920864063904,Least Concern
Benthobatis yangi,21.5,134.7097752992085,Vulnerable
Beringraja binoculata,244,91000,Least Concern
Beringraja cortezensis,39,664.9672478138765,Least Concern
Beringraja pulchra,115,12076.22898225078,Endangered
Beringraja rhina,180,40142.49897184172,Least Concern
Brachaelurus colcloughi,76,3977.81580608374,Vulnerable
Brachaelurus waddi,122,14149.254579023715,Least Concern
Breviraja claramaculata,29.4,311.7336168475971,Least Concern
Breviraja colesi,40,711.6720661450178,Least Concern
Breviraja mouldi,41,760.3816301145959,Least Concern
Breviraja nigriventralis,40,711.6720661450178,Least Concern
Breviraja spinosa,23.6,172.94679007805652,Least Concern
Brevitrygon walga,45,975.9434795636485,Near Threatened
Bythaelurus canescens,70,3190.7141474884793,Vulnerable
Bythaelurus dawsoni,45,975.9434795636485,Least Concern
Bythaelurus giddingsi,45.3,993.4853553943161,Least Concern
Bythaelurus hispidus,26,224.22443949258994,Near Threatened
Bythaelurus immaculatus,71,3314.395020665394,Least Concern
Bythaelurus tenuicephalus,300,157907.17712425409,Least Concern
Callorhinchus callorynchus,89.2,6111.0829137369965,Vulnerable
Callorhinchus capensis,122,5250,Least Concern
Callorhinchus milii,125,15101.482948074536,Least Concern
Carcharhinus acronotus,200,18860,Near Threatened
Carcharhinus albimarginatus,300,162200,Vulnerable
Carcharhinus altimus,300,167800,Near Threatened
Carcharhinus amblyrhynchoides,161,29765.58439873757,Near Threatened
Carcharhinus amblyrhynchos,255,33700,Endangered
Carcharhinus borneensis,70,3190.7141474884793,Endangered
Carcharhinus brachyurus,325,304600,Vulnerable
Carcharhinus brevipinna,300,89700,Vulnerable
Carcharhinus cautus,150,24621.35787718393,Least Concern
Carcharhinus cerdale,140,20463.398751342673,Critically Endangered
Carcharhinus coatesi,87,5715.313963794572,Least Concern
Carcharhinus dussumieri,121,13840.446299115116,Endangered
Carcharhinus falciformis,350,346000,Vulnerable
Carcharhinus fitzroyensis,135,18562.302419493753,Least Concern
Carcharhinus galapagensis,370,85450,Least Concern
Carcharhinus hemiodon,200,53245.70254992961,Critically Endangered
Carcharhinus isodon,190,46404.42996259875,Least Concern
Carcharhinus leiodon,75,3839.035531864086,Endangered
Carcharhinus leucas,360,316500,Near Threatened
Carcharhinus limbatus,275,122750,Near Threatened
Carcharhinus longimanus,400,167370,Critically Endangered
Carcharhinus macloti,110,10719.447303356466,Near Threatened
Carcharhinus melanopterus,200,53245.70254992961,Vulnerable
Carcharhinus obscurus,420,346540,Endangered
Carcharhinus perezi,300,69850,Near Threatened
Carcharhinus plumbeus,180,117930,Vulnerable
Carcharhinus porosus,150,24621.35787718393,Critically Endangered
Carcharhinus sealei,100,8302.228700297239,Near Threatened
Carcharhinus signatus,280,76650,Vulnerable
Carcharhinus sorrah,160,28000,Near Threatened
Carcharhinus tilstoni,200,52000,Least Concern
Carcharhinus tjutjot,93.7,6973.099542599098,Vulnerable
Carcharias taurus,330,158810,Vulnerable
Carcharodon carcharias,640,1204035.7881316107,Vulnerable
Centrophorus atromarginatus,87,5715.313963794572,Critically Endangered
Centrophorus granulosus,170,34438.9602259596,Endangered
Centrophorus harrissoni,111.4,11089.15159229758,Endangered
Centrophorus isodon,108,10204.857391860778,Endangered
Centrophorus lesliei,76.5,4048.368201935196,Endangered
Centrophorus longipinnis,77.5,4191.814878859235,Endangered
Centrophorus moluccensis,100,2400,Vulnerable
Centrophorus seychellorum,79.7,4518.508868775556,Least Concern
Centrophorus squamosus,164,31276.010798012434,Endangered
Centrophorus uyato,110,7340,Endangered
Centroscyllium fabricii,107,9953.489845498221,Least Concern
Centroscyllium granulatum,28,273.50994676164095,Vulnerable
Centroscyllium kamoharai,60,2110.557690505931,Least Concern
Centroscyllium nigrum,51,1365.0944372415463,Least Concern
Centroscyllium ornatum,30,329.08444799503474,Least Concern
Centroscymnus coelolepis,120,13535.898739951816,Near Threatened
Centroscymnus owstonii,121,13840.446299115116,Vulnerable
Cephaloscyllium albipinnum,101.3,8594.767755042694,Critically Endangered
Cephaloscyllium fasciatum,42,811.1299417645272,Critically Endangered
Cephaloscyllium hiscosellum,46.3,1053.3815884603657,Least Concern
Cephaloscyllium isabellum,100,8302.228700297239,Least Concern
Cephaloscyllium laticeps,150,24621.35787718393,Least Concern
Cephaloscyllium silasi,36,536.5371065716666,Critically Endangered
Cephaloscyllium sufflans,110,10719.447303356466,Near Threatened
Cephaloscyllium variegatum,72,3441.039293761209,Near Threatened
Cephaloscyllium ventriosum,110,10719.447303356466,Least Concern
Cephalurus cephalus,28,273.50994676164095,Least Concern
Cetorhinus maximus,1520,4000000,Endangered
Chaenogaleus macrostoma,100,8302.228700297239,Vulnerable
Chiloscyllium arabicum,80,4564.253830503943,Near Threatened
Chiloscyllium burmensis,57.5,1882.961629697499,Vulnerable
Chiloscyllium griseum,77,4119.700070759574,Vulnerable
Chiloscyllium indicum,65,2615.758950533419,Vulnerable
Chiloscyllium plagiosum,83,5037.73606403926,Near Threatened
Chiloscyllium punctatum,132,17476.91595646936,Near Threatened
Chimaera argiloba,91.2,6485.404570389829,Least Concern
Chimaera carophila,103.5,9104.396905067562,Least Concern
Chimaera cubana,75,3839.035531864086,Least Concern
Chimaera fulva,100,8302.228700297239,Least Concern
Chimaera lignaria,142,21256.616479018347,Least Concern
Chimaera macrospina,93.9,7013.07627105578,Least Concern
Chimaera monstrosa,150,2500,Vulnerable
Chimaera notafricana,83.7,5152.45659882956,Least Concern
Chimaera opalescens,96.8,7608.958066206801,Least Concern
Chimaera panthera,129,16432.216865280418,Least Concern
Chimaera phantasma,100,8302.228700297239,Vulnerable
Chlamydoselachus africana,99,8081.504830369964,Least Concern
Chlamydoselachus anguineus,200,53245.70254992961,Least Concern
Cirrhigaleus barbifer,126,15427.57300583775,Least Concern
Cirrhoscyllium formosanum,39,664.9672478138765,Vulnerable
Cruriraja hulleyi,58,1927.1822398307118,Least Concern
Cruriraja parcomaculata,55,1671.4081849102683,Least Concern
