Species,Length,Weight
Aapticheilichthys websteri,3.08,NA
Aaptosyax grypus,130,30000
Abactochromis labrosus,11.5,NA
Abalistes filamentosus,32.5,1375
Abalistes stellaris,60,NA
Abalistes stellatus,60,NA
Abbottina binhi,NA,NA
Abbottina lalinensis,NA,NA
Abbottina liaoningensis,6.6,NA
Abbottina obtusirostris,10.9,13.5
Abbottina rivularis,18.9,NA
Ablabys binotatus,15,NA
Ablabys macracanthus,20,NA
Ablabys taenianotus,15,NA
Ablennes hians,140,4800
Aboma etheostoma,3.4,NA
Aborichthys cataracta,9.26,NA
Aborichthys elongatus,7.4,NA
Aborichthys garoensis,8.95,NA
Aborichthys kempi,8.1,NA
Aborichthys rosammai,NA,NA
Aborichthys tikaderi,10.9,NA
Aborichthys verticauda,7.75,NA
Aborichthys waikhomi,6.8,NA
Abramis brama,82,6010
Abramites eques,18.5,151
Abramites hypselonotus,14,NA
Abudefduf abdominalis,30,NA
Abudefduf bengalensis,17,NA
Abudefduf concolor,19,NA
Abudefduf conformis,13.1,NA
Abudefduf declivifrons,18,NA
Abudefduf hoefleri,20,NA
Abudefduf lorenzi,18,NA
Abudefduf margariteus,16,NA
Abudefduf natalensis,17,NA
Abudefduf notatus,17,NA
Abudefduf saxatilis,22.9,200
Abudefduf septemfasciatus,23,NA
Abudefduf sexfasciatus,19,NA
Abudefduf sordidus,24,NA
Abudefduf sparoides,16,NA
Abudefduf taurus,25,NA
Abudefduf troschelii,20,NA
Abudefduf vaigiensis,20,NA
Abudefduf whitleyi,14,NA
Abyssoberyx levisquamosus,16.8,NA
Abyssobrotula galatheae,16.5,NA
Abyssocottus elochini,NA,NA
Abyssocottus gibbosus,14,NA
Abyssocottus korotneffi,12.6,NA
Acanthaluteres brownii,55,NA
Acanthaluteres spilomelanurus,14,NA
Acanthaluteres vittiger,35,NA
Acanthanectes hystrix,3.5,NA
Acanthanectes rufus,3.55,NA
Acanthaphritis barbata,10,NA
Acanthaphritis grandisquamis,NA,NA
Acanthaphritis ozawai,10.8,NA
