"Table 303.70. Total undergraduate fall enrollment in degree-granting postsecondary institutions, by attendance status, sex of student, and control
              and level of institution: Selected years, 1970 through 2029",,,,,,,,,,,,,
"Level and year",Total,Full-time,"Part- time",Males,Females,Males,,Females,,Public,Private,,
,,,,,,Full-time,Part-time,Full-time,Part-time,,Total,Nonprofit,For-profit
1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Total, all 
   levels",,,,,,,,,,,,,
1970,7368644,5280064,2088580,4249702,3118942,3096371,1153331,2183693,935249,5620255,1748389,1730133,18256
1975,9679455,6168396,3511059,5257005,4422450,3459328,1797677,2709068,1713382,7826032,1853423,1814844,38579
1980,10475055,6361744,4113311,5000177,5474878,3226857,1773320,3134887,2339991,8441955,2033100,1926703,106397
1985,10596674,6319592,4277082,4962080,5634594,3156446,1805634,3163146,2471448,8477125,2119549,1928996,190553
1986,10797975,6352073,4445902,5017505,5780470,3146330,1871175,3205743,2574727,8660716,2137259,1928294,208965
1987,11046235,6462549,4583686,5068457,5977778,3163676,1904781,3298873,2678905,8918589,2127646,1939942,187704
1988,11316548,6642428,4674120,5137644,6178904,3206442,1931202,3435986,2742918,9103146,2213402,---,---
1989,11742531,6840696,4901835,5310990,6431541,3278647,2032343,3562049,2869492,9487742,2254789,---,---
1990,11959106,6976030,4983076,5379759,6579347,3336535,2043224,3639495,2939852,9709596,2249510,2043407,206103
1991,12439287,7221412,5217875,5571003,6868284,3435526,2135477,3785886,3082398,10147957,2291330,2072354,218976
1992,12537700,7244442,5293258,5582936,6954764,3424739,2158197,3819703,3135061,10216297,2321403,2101721,219682
1993,12323959,7179482,5144477,5483682,6840277,3381997,2101685,3797485,3042792,10011787,2312172,2099197,212975
1994,12262608,7168706,5093902,5422113,6840495,3341591,2080522,3827115,3013380,9945128,2317480,2100465,217015
1995,12231719,7145268,5086451,5401130,6830589,3296610,2104520,3848658,2981931,9903626,2328093,2104693,223400
1996,12326948,7298839,5028109,5420672,6906276,3339108,2081564,3959731,2946545,9935283,2391665,2112318,279347
1997,12450587,7418598,5031989,5468532,6982055,3379597,2088935,4039001,2943054,10007479,2443108,2139824,303284
1998,12436937,7538711,4898226,5446133,6990804,3428161,2017972,4110550,2880254,9950212,2486725,2152655,334070
1999,12739445,7753548,4985897,5584234,7155211,3524586,2059648,4228962,2926249,10174228,2565217,2185290,379927
2000,13155393,7922926,5232467,5778268,7377125,3588246,2190022,4334680,3042445,10539322,2616071,2213180,402891
2001,13715610,8327640,5387970,6004431,7711179,3768630,2235801,4559010,3152169,10985871,2729739,2257718,472021
2002,14257077,8734252,5522825,6192390,8064687,3934168,2258222,4800084,3264603,11432855,2824222,2306091,518131
2003,14480364,9045253,5435111,6227372,8252992,4048682,2178690,4996571,3256421,11523103,2957261,2346673,610588
2004,14780630,9284336,5496294,6340048,8440582,4140628,2199420,5143708,3296874,11650580,3130050,2389366,740684
2005,14963964,9446430,5517534,6408871,8555093,4200863,2208008,5245567,3309526,11697730,3266234,2418368,847866
2006,15179591,9571349,5608242,6511198,8668393,4264722,2246476,5306627,3361766,11842625,3336966,2448250,888716
2007,15613540,9841973,5771567,6731561,8881979,4397402,2334159,5444571,3437408,12147744,3465796,2470463,995333
2008,16344592,10244174,6100418,7055640,9288952,4570913,2484727,5673261,3615691,12589947,3754645,2535789,1218856
2009,17464179,11038275,6425904,7563176,9901003,4942120,2621056,6096155,3804848,13386375,4077804,2595171,1482633
2010,18082427,11457040,6625387,7836282,10246145,5118975,2717307,6338065,3908080,13703000,4379427,2652993,1726434
2011,18077303,11365175,6712128,7822992,10254311,5070553,2752439,6294622,3959689,13694899,4382404,2718923,1663481
2012,17735638,11097092,6638546,7714938,10020700,4984389,2730549,6112703,3907997,13478100,4257538,2744400,1513138
2013,17476304,10939276,6537028,7660140,9816164,4950210,2709930,5989066,3827098,13348292,4128012,2755463,1372549
2014,17294136,10784392,6509744,7586299,9707837,4877531,2708768,5906861,3800976,13244533,4049603,2772065,1277538
2015,17046673,10603030,6443643,7502254,9544419,4809098,2693156,5793932,3750487,13150823,3895850,2822122,1073728
2016,16874649,10430068,6444581,7416859,9457790,4725510,2691349,5704558,3753232,13143979,3730670,2813742,916928
2017,16773036,10371863,6401173,7351259,9421777,4683715,2667544,5688148,3733629,13112594,3660442,2819080,841362
2018,16610235,10267135,6343100,7225999,9384236,4602752,2623247,5664383,3719853,13049326,3560909,2821653,739256
"2019\1\ ",16673000,10296000,6377000,7250000,9423000,4612000,2638000,5684000,3739000,13100000,3573000,---,---
"2020\1\ ",16692000,10293000,6399000,7254000,9438000,4608000,2646000,5685000,3753000,13118000,3575000,---,---
"2021\1\ ",16721000,10292000,6428000,7263000,9457000,4606000,2657000,5686000,3771000,13142000,3578000,---,---
"2022\1\ ",16750000,10297000,6452000,7273000,9477000,4606000,2667000,5692000,3785000,13167000,3582000,---,---
"2023\1\ ",16790000,10312000,6478000,7288000,9503000,4610000,2678000,5703000,3800000,13201000,3590000,---,---
"2024\1\ ",16845000,10341000,6504000,7312000,9533000,4622000,2690000,5718000,3814000,13244000,3600000,---,---
"2025\1\ ",16901000,10377000,6524000,7338000,9564000,4639000,2699000,5738000,3826000,13289000,3613000,---,---
"2026\1\ ",16967000,10415000,6551000,7367000,9600000,4656000,2711000,5760000,3841000,13340000,3626000,---,---
"2027\1\ ",16991000,10419000,6572000,7378000,9613000,4658000,2720000,5761000,3851000,13361000,3630000,---,---
"2028\1\ ",16999000,10410000,6589000,7383000,9616000,4656000,2727000,5755000,3862000,13370000,3629000,---,---
"2029\1\ ",17003000,10397000,6606000,7385000,9618000,4651000,2734000,5746000,3872000,13375000,3628000,---,---
"2-year insti-
   tutions\2\",,,,,,,,,,,,,
1970,2318956,1228909,1090047,1374426,944530,771298,603128,457611,486919,2194983,123973,113299,10674
1975,3965726,1761009,2204717,2163604,1802122,1035531,1128073,725478,1076644,3831973,133753,112997,20756
1980,4525097,1753637,2771460,2046642,2478455,879619,1167023,874018,1604437,4327592,197505,114094,83411
1985,4531077,1690607,2840470,2002234,2528843,826308,1175926,864299,1664544,4269733,261344,108791,152553
1986,4679548,1696261,2983287,2060932,2618616,824551,1236381,871710,1746906,4413691,265857,101498,164359
1987,4776222,1708669,3067553,2072823,2703399,820167,1252656,888502,1814897,4541054,235168,90102,145066
1988,4875155,1743592,3131563,2089689,2785466,818593,1271096,924999,1860467,4615487,259668,---,---
1989,5150889,1855701,3295188,2216800,2934089,869688,1347112,986013,1948076,4883660,267229,---,---
1990,5240083,1883962,3356121,2232769,3007314,881392,1351377,1002570,2004744,4996475,243608,89158,154450
1991,5651900,2074530,3577370,2401910,3249990,961397,1440513,1113133,2136857,5404815,247085,89289,157796
1992,5722349,2080005,3642344,2413266,3309083,951816,1461450,1128189,2180894,5484514,237835,83288,154547
1993,5565561,2043319,3522242,2345396,3220165,928216,1417180,1115103,2105062,5337022,228539,86357,142182
1994,5529609,2031713,3497896,2323161,3206448,911589,1411572,1120124,2086324,5308366,221243,85607,135636
1995,5492098,1977046,3515052,2328500,3163598,878215,1450285,1098831,2064767,5277398,214700,75154,139546
1996,5562780,2072215,3490565,2358792,3203988,916452,1442340,1155763,2048225,5314038,248742,75253,173489
1997,5605569,2095171,3510398,2389711,3215858,931394,1458317,1163777,2052081,5360686,244883,71794,173089
1998,5489314,2085906,3403408,2333334,3155980,936421,1396913,1149485,2006495,5245963,243351,65870,177481
