County,Year,January,February,March,April,May,June,July,August,September,October,November,December
Anderson,2010,138,113,169,169,155,152,165,176,178,169,179,152
Bedford,2010,71,72,77,70,87,99,90,91,86,118,105,95
Benton,2010,21,23,27,32,34,29,16,43,31,50,29,36
Bledsoe,2010,5,1,3,3,5,1,7,4,3,6,4,3
Blount,2010,126,159,171,145,153,139,201,264,338,267,316,269
Bradley,2010,201,197,203,241,253,226,216,186,179,264,240,251
Campbell,2010,93,84,81,91,76,107,119,76,103,95,79,87
Cannon,2010,29,23,24,18,29,27,27,14,29,15,21,28
Carroll,2010,38,39,39,36,53,29,34,38,40,48,52,53
Carter,2010,82,110,104,89,95,113,74,110,108,109,111,158
Cheatham,2010,70,51,51,73,73,85,69,59,76,77,80,98
Chester,2010,23,30,29,18,25,19,29,35,29,30,33,37
Claiborne,2010,40,34,45,61,56,52,49,47,57,48,49,46
Clay,2010,6,7,6,9,11,12,5,8,10,5,3,4
Cocke,2010,69,70,81,99,96,76,90,96,79,86,96,120
Coffee,2010,75,70,110,125,134,140,117,99,120,103,109,125
Crockett,2010,17,14,15,12,23,17,17,20,20,28,15,18
Cumberland,2010,119,69,87,121,111,114,128,141,132,130,162,151
Davidson,2010,1888,1493,1570,1704,1955,1899,1692,1855,1789,1868,1984,2076
Decatur,2010,25,18,21,19,19,16,14,25,21,17,22,21
DeKalb,2010,24,25,25,25,29,27,53,34,25,28,33,27
Dickson,2010,133,98,104,103,102,109,102,110,85,112,129,160
Dyer,2010,56,64,71,85,78,87,73,60,65,91,78,75
Fayette,2010,45,45,43,53,61,39,43,46,43,46,66,53
Fentress,2010,8,9,7,9,9,6,7,8,23,18,12,8
Franklin,2010,38,39,51,36,43,32,32,27,44,52,46,69
Gibson,2010,82,65,67,76,74,64,58,58,71,92,79,82
Giles,2010,50,41,37,37,36,48,33,45,40,51,50,42
Grainger,2010,19,15,27,30,29,31,24,28,51,30,32,38
Greene,2010,167,154,156,160,177,148,150,157,168,191,196,203
Grundy,2010,25,16,15,19,25,18,21,27,20,20,31,28
Hamblen,2010,130,123,140,135,141,141,144,132,154,146,149,152
Hamilton,2010,821,699,841,916,900,838,767,800,946,897,947,903
Hancock,2010,9,5,4,6,12,8,9,9,7,10,15,10
Hardeman,2010,27,21,38,39,30,27,40,33,35,26,28,40
Hardin,2010,73,43,59,47,70,56,61,56,57,74,55,84
Hawkins,2010,74,79,92,76,78,85,90,86,95,78,99,89
Haywood,2010,45,38,27,26,53,39,36,34,25,46,38,46
Henderson,2010,78,72,45,69,71,58,60,83,61,75,70,89
Henry,2010,38,42,42,52,39,38,50,39,56,35,44,37
Hickman,2010,46,57,41,32,41,38,52,37,36,35,53,57
Houston,2010,12,9,18,8,6,7,5,9,11,13,8,8
Humphreys,2010,49,23,29,34,31,39,34,34,33,40,29,23
Jackson,2010,22,13,20,24,26,21,17,19,14,20,18,17
Jefferson,2010,95,77,79,93,89,95,94,94,109,102,77,117
Johnson,2010,20,28,25,20,26,26,22,34,26,28,41,59
Knox,2010,894,858,1027,1110,1058,974,906,1005,1177,1156,1149,940
