county,Average
"Ada County, ID",180.95833333333334
"Adams County, CO",279.2708333333333
"Adams County, PA",31.770833333333332
"Aiken County, SC",55.541666666666664
"Alachua County, FL",123.64583333333333
"Alamance County, NC",69.79166666666667
"Alameda County, CA",835.8333333333334
"Albany County, NY",106.6875
"Alexandria city, VA",97.375
"Allegan County, MI",45.854166666666664
"Allegheny County, PA",551.9583333333334
"Allen County, IN",183.33333333333334
"Allen County, OH",33.791666666666664
"Anchorage Borough, AK",147.10416666666666
"Anderson County, SC",76.54166666666667
"Androscoggin County, ME",46.833333333333336
"Anne Arundel County, MD",236.75
"Anoka County, MN",165.04166666666666
"Arapahoe County, CO",292.5
"Arlington County, VA",119.5625
"Ascension Parish, LA",51.8125
"Ashtabula County, OH",27.895833333333332
"Atlantic County, NJ",111.83333333333333
"Baldwin County, AL",69.54166666666667
"Baltimore city, MD",275
"Baltimore County, MD",325.1041666666667
"Barnstable County, MA",68.1875
"Bartow County, GA",53.291666666666664
"Bay County, FL",98.52083333333333
"Bay County, MI",36.979166666666664
"Beaufort County, SC",68.875
"Beaver County, PA",58.229166666666664
"Bell County, TX",252.3125
"Benton County, AR",112.3125
"Benton County, WA",94.16666666666667
"Bergen County, NJ",294.0208333333333
"Berkeley County, SC",90
"Berkeley County, WV",49.166666666666664
"Berks County, PA",156
"Berkshire County, MA",39.604166666666664
"Bernalillo County, NM",239
"Berrien County, MI",67.08333333333333
"Bexar County, TX",872.7916666666666
"Bibb County, GA",66.27083333333333
"Black Hawk County, IA",72.25
"Blair County, PA",41.3125
"Blount County, TN",32.25
"Bonneville County, ID",63.604166666666664
"Boone County, KY",51.6875
"Boone County, MO",58.354166666666664
"Bossier Parish, LA",42.354166666666664
"Boulder County, CO",100.79166666666667
"Brazoria County, TX",147.85416666666666
"Brazos County, TX",92.14583333333333
"Brevard County, FL",181.875
"Bristol County, MA",216.39583333333334
"Bronx County, NY",732.2916666666666
"Broome County, NY",66.33333333333333
"Broward County, FL",764.8333333333334
"Brown County, WI",116.89583333333333
"Brunswick County, NC",34.833333333333336
"Bucks County, PA",201.83333333333334
"Buncombe County, NC",87.4375
"Burlington County, NJ",168.8125
"Butler County, OH",131.72916666666666
"Butler County, PA",63.416666666666664
"Butte County, CA",95.10416666666667
"Cabarrus County, NC",83.54166666666667
"Cache County, UT",111.64583333333333
"Caddo Parish, LA",101.1875
"Calcasieu Parish, LA",93.08333333333333
"Calhoun County, AL",37.4375
"Calhoun County, MI",62.916666666666664
"Cambria County, PA",39.729166666666664
"Camden County, NJ",242.58333333333334
"Cameron County, TX",186.9375
"Canadian County, OK",53.25
"Canyon County, ID",116.52083333333333
"Carroll County, GA",55.625
"Carroll County, MD",55.895833333333336
"Cass County, ND",95.29166666666667
"Catawba County, NC",68.66666666666667
"Cecil County, MD",38.291666666666664
"Centre County, PA",45.395833333333336
"Champaign County, IL",78.47916666666667
"Charles County, MD",63.520833333333336
"Charleston County, SC",153.1875
"Charlotte County, FL",34.041666666666664
"Chatham County, GA",105.9375
