county,year,month,births
"Baldwin County, AL",2016,January,63
"Baldwin County, AL",2016,February,67
"Baldwin County, AL",2016,March,69
"Baldwin County, AL",2016,April,63
"Baldwin County, AL",2016,May,51
"Baldwin County, AL",2016,June,68
"Baldwin County, AL",2016,July,78
"Baldwin County, AL",2016,August,82
"Baldwin County, AL",2016,September,61
"Baldwin County, AL",2016,October,54
"Baldwin County, AL",2016,November,55
"Baldwin County, AL",2016,December,58
"Baldwin County, AL",2017,January,69
"Baldwin County, AL",2017,February,71
"Baldwin County, AL",2017,March,56
"Baldwin County, AL",2017,April,73
"Baldwin County, AL",2017,May,80
"Baldwin County, AL",2017,June,78
"Baldwin County, AL",2017,July,62
"Baldwin County, AL",2017,August,83
"Baldwin County, AL",2017,September,58
"Baldwin County, AL",2017,October,86
"Baldwin County, AL",2017,November,88
"Baldwin County, AL",2017,December,70
"Baldwin County, AL",2018,January,59
"Baldwin County, AL",2018,February,57
"Baldwin County, AL",2018,March,62
"Baldwin County, AL",2018,April,70
"Baldwin County, AL",2018,May,67
"Baldwin County, AL",2018,June,72
"Baldwin County, AL",2018,July,73
"Baldwin County, AL",2018,August,70
"Baldwin County, AL",2018,September,98
"Baldwin County, AL",2018,October,80
"Baldwin County, AL",2018,November,58
"Baldwin County, AL",2018,December,60
"Baldwin County, AL",2019,January,68
"Baldwin County, AL",2019,February,73
"Baldwin County, AL",2019,March,78
"Baldwin County, AL",2019,April,78
"Baldwin County, AL",2019,May,61
"Baldwin County, AL",2019,June,75
"Baldwin County, AL",2019,July,65
"Baldwin County, AL",2019,August,74
"Baldwin County, AL",2019,September,73
"Baldwin County, AL",2019,October,71
"Baldwin County, AL",2019,November,79
"Baldwin County, AL",2019,December,74
"Calhoun County, AL",2016,January,43
"Calhoun County, AL",2016,February,35
"Calhoun County, AL",2016,March,47
"Calhoun County, AL",2016,April,45
"Calhoun County, AL",2016,May,37
"Calhoun County, AL",2016,June,53
"Calhoun County, AL",2016,July,47
"Calhoun County, AL",2016,August,50
"Calhoun County, AL",2016,September,40
"Calhoun County, AL",2016,October,42
"Calhoun County, AL",2016,November,46
"Calhoun County, AL",2016,December,43
"Calhoun County, AL",2017,January,35
"Calhoun County, AL",2017,February,29
"Calhoun County, AL",2017,March,39
"Calhoun County, AL",2017,April,37
"Calhoun County, AL",2017,May,25
"Calhoun County, AL",2017,June,44
"Calhoun County, AL",2017,July,38
"Calhoun County, AL",2017,August,41
"Calhoun County, AL",2017,September,34
"Calhoun County, AL",2017,October,40
"Calhoun County, AL",2017,November,37
"Calhoun County, AL",2017,December,37
"Calhoun County, AL",2018,January,51
"Calhoun County, AL",2018,February,30
"Calhoun County, AL",2018,March,36
"Calhoun County, AL",2018,April,25
"Calhoun County, AL",2018,May,38
"Calhoun County, AL",2018,June,30
"Calhoun County, AL",2018,July,35
"Calhoun County, AL",2018,August,24
"Calhoun County, AL",2018,September,48
"Calhoun County, AL",2018,October,33
"Calhoun County, AL",2018,November,37
"Calhoun County, AL",2018,December,36
"Calhoun County, AL",2019,January,43
"Calhoun County, AL",2019,February,36
"Calhoun County, AL",2019,March,35
"Calhoun County, AL",2019,April,27
"Calhoun County, AL",2019,May,32
"Calhoun County, AL",2019,June,37
"Calhoun County, AL",2019,July,36
"Calhoun County, AL",2019,August,35
"Calhoun County, AL",2019,September,30
"Calhoun County, AL",2019,October,25
"Calhoun County, AL",2019,November,35
"Calhoun County, AL",2019,December,39
"Etowah County, AL",2016,January,49
"Etowah County, AL",2016,February,44
"Etowah County, AL",2016,March,31
"Etowah County, AL",2016,April,34
"Etowah County, AL",2016,May,33
"Etowah County, AL",2016,June,44
"Etowah County, AL",2016,July,43
"Etowah County, AL",2016,August,24
"Etowah County, AL",2016,September,45
"Etowah County, AL",2016,October,44
"Etowah County, AL",2016,November,40
"Etowah County, AL",2016,December,40
"Etowah County, AL",2017,January,30
"Etowah County, AL",2017,February,29
"Etowah County, AL",2017,March,43
"Etowah County, AL",2017,April,39
"Etowah County, AL",2017,May,51
"Etowah County, AL",2017,June,41
"Etowah County, AL",2017,July,39
"Etowah County, AL",2017,August,40
"Etowah County, AL",2017,September,42
"Etowah County, AL",2017,October,39
"Etowah County, AL",2017,November,40
"Etowah County, AL",2017,December,36
"Etowah County, AL",2018,January,24
"Etowah County, AL",2018,February,27
"Etowah County, AL",2018,March,50
"Etowah County, AL",2018,April,25
"Etowah County, AL",2018,May,43
"Etowah County, AL",2018,June,45
"Etowah County, AL",2018,July,28
"Etowah County, AL",2018,August,43
