county,Pop2010
"Autauga County, AL",54571
"Baldwin County, AL",182265
"Barbour County, AL",27457
"Bibb County, AL",22915
"Blount County, AL",57322
"Bullock County, AL",10914
"Butler County, AL",20947
"Calhoun County, AL",118572
"Chambers County, AL",34215
"Cherokee County, AL",25989
"Chilton County, AL",43643
"Choctaw County, AL",13859
"Clarke County, AL",25833
"Clay County, AL",13932
"Cleburne County, AL",14972
"Coffee County, AL",49948
"Colbert County, AL",54428
"Conecuh County, AL",13228
"Coosa County, AL",11539
"Covington County, AL",37765
"Crenshaw County, AL",13906
"Cullman County, AL",80406
"Dale County, AL",50251
"Dallas County, AL",43820
"DeKalb County, AL",71109
"Elmore County, AL",79303
"Escambia County, AL",38319
"Etowah County, AL",104430
"Fayette County, AL",17241
"Franklin County, AL",31704
"Geneva County, AL",26790
"Greene County, AL",9045
"Hale County, AL",15760
"Henry County, AL",17302
"Houston County, AL",101547
"Jackson County, AL",53227
"Jefferson County, AL",658466
"Lamar County, AL",14564
"Lauderdale County, AL",92709
"Lawrence County, AL",34339
"Lee County, AL",140247
"Limestone County, AL",82782
"Lowndes County, AL",11299
"Macon County, AL",21452
"Madison County, AL",334811
"Marengo County, AL",21027
"Marion County, AL",30776
"Marshall County, AL",93019
"Mobile County, AL",412992
"Monroe County, AL",23068
"Montgomery County, AL",229363
"Morgan County, AL",119490
"Perry County, AL",10591
"Pickens County, AL",19746
"Pike County, AL",32899
"Randolph County, AL",22913
"Russell County, AL",52947
"St. Clair County, AL",83593
"Shelby County, AL",195085
"Sumter County, AL",13763
"Talladega County, AL",82291
"Tallapoosa County, AL",41616
"Tuscaloosa County, AL",194656
"Walker County, AL",67023
"Washington County, AL",17581
"Wilcox County, AL",11670
"Winston County, AL",24484
"Aleutians East Borough, AK",3141
"Aleutians West Census Area, AK",5561
"Anchorage Municipality, AK",291826
"Bethel Census Area, AK",17013
"Bristol Bay Borough, AK",997
"Denali Borough, AK",1826
"Dillingham Census Area, AK",4847
"Fairbanks North Star Borough, AK",97581
"Haines Borough, AK",2508
"Hoonah-Angoon Census Area, AK",2150
"Juneau City and Borough, AK",31275
"Kenai Peninsula Borough, AK",55400
"Ketchikan Gateway Borough, AK",13477
"Kodiak Island Borough, AK",13592
"Kusilvak Census Area, AK",7459
"Lake and Peninsula Borough, AK",1631
"Matanuska-Susitna Borough, AK",88995
"Nome Census Area, AK",9492
"North Slope Borough, AK",9430
"Northwest Arctic Borough, AK",7523
"Petersburg Borough, AK",3815
"Prince of Wales-Hyder Census Area, AK",5559
"Sitka City and Borough, AK",8881
